,Date,BTC,IBEX
141,2015-02-05,227.664993,10451.700195
142,2015-02-06,216.923004,10547.099609
143,2015-02-07,222.632996,10547.099609
144,2015-02-08,227.692993,10547.099609
145,2015-02-09,223.389008,10467.799805
146,2015-02-10,220.281998,10389.799805
147,2015-02-11,219.731995,10496.099609
148,2015-02-12,219.207993,10349.599609
149,2015-02-13,221.968994,10618.5
150,2015-02-14,235.528,10618.5
151,2015-02-15,257.506989,10618.5
152,2015-02-16,234.824997,10717.799805
153,2015-02-17,233.421997,10591.599609
154,2015-02-18,243.779999,10764.599609
155,2015-02-19,236.410004,10781.0
156,2015-02-20,240.251007,10889.799805
157,2015-02-21,243.751999,10889.799805
158,2015-02-22,244.544006,10889.799805
159,2015-02-23,235.994995,11001.299805
160,2015-02-24,238.998001,11027.700195
161,2015-02-25,238.889999,11027.900391
162,2015-02-26,237.337006,11023.299805
163,2015-02-27,236.436005,11142.900391
164,2015-02-28,253.520004,11142.900391
165,2015-03-01,254.283005,11142.900391
166,2015-03-02,260.356995,11190.5
167,2015-03-03,275.04599,11197.599609
168,2015-03-04,281.98999,11048.099609
169,2015-03-05,272.739014,11078.099609
170,2015-03-06,275.600006,11144.5
171,2015-03-07,272.294006,11144.5
172,2015-03-08,276.433014,11144.5
173,2015-03-09,274.812012,11007.900391
174,2015-03-10,289.862,11060.5
175,2015-03-11,291.524994,10950.299805
176,2015-03-12,296.127014,11022.900391
177,2015-03-13,294.118011,11072.900391
178,2015-03-14,284.441986,11072.900391
179,2015-03-15,281.424988,11072.900391
180,2015-03-16,285.684998,11082.400391
181,2015-03-17,290.595001,11117.5
182,2015-03-18,285.066986,11057.400391
183,2015-03-19,255.880005,11062.900391
184,2015-03-20,260.955994,11109.799805
185,2015-03-21,261.644012,11109.799805
186,2015-03-22,259.916992,11109.799805
187,2015-03-23,267.894989,11394.0
188,2015-03-24,266.576996,11428.5
189,2015-03-25,247.472,11560.700195
190,2015-03-26,246.276001,11400.400391
191,2015-03-27,248.565994,11469.700195
192,2015-03-28,246.975006,11469.700195
193,2015-03-29,252.740005,11469.700195
194,2015-03-30,242.878998,11459.799805
195,2015-03-31,247.453995,11510.799805
196,2015-04-01,244.223007,11482.0
197,2015-04-02,247.089005,11583.599609
198,2015-04-03,253.074005,11583.599609
199,2015-04-04,254.291,11583.599609
200,2015-04-05,253.761002,11583.599609
201,2015-04-06,260.721008,11583.599609
202,2015-04-07,255.274002,11715.599609
203,2015-04-08,253.063995,11738.400391
204,2015-04-09,244.751007,11688.400391
205,2015-04-10,243.694,11755.299805
206,2015-04-11,236.016006,11755.299805
207,2015-04-12,236.535004,11755.299805
208,2015-04-13,235.949997,11761.700195
209,2015-04-14,224.759003,11798.5
210,2015-04-15,219.072998,11742.400391
211,2015-04-16,223.917007,11772.299805
212,2015-04-17,228.574997,11565.5
213,2015-04-18,222.852997,11565.5
214,2015-04-19,223.455994,11565.5
215,2015-04-20,222.612,11400.200195
216,2015-04-21,224.619995,11439.0
217,2015-04-22,235.602005,11452.200195
218,2015-04-23,234.052994,11417.5
219,2015-04-24,235.970001,11469.599609
220,2015-04-25,231.235001,11469.599609
221,2015-04-26,226.410004,11469.599609
222,2015-04-27,219.429001,11532.0
223,2015-04-28,228.968994,11656.0
224,2015-04-29,225.591003,11619.0
225,2015-04-30,225.692993,11351.099609
226,2015-05-01,235.938995,11351.099609
227,2015-05-02,232.341003,11351.099609
228,2015-05-03,234.880005,11351.099609
229,2015-05-04,240.356003,11377.099609
230,2015-05-05,238.852005,11416.400391
231,2015-05-06,236.248993,11100.400391
232,2015-05-07,229.662003,11125.099609
233,2015-05-08,237.203995,11260.799805
234,2015-05-09,243.768997,11260.799805
235,2015-05-10,241.729004,11260.799805
236,2015-05-11,240.298996,11433.700195
237,2015-05-12,242.145004,11332.0
238,2015-05-13,241.397995,11366.0
239,2015-05-14,236.214005,11304.599609
240,2015-05-15,236.955002,11438.799805
241,2015-05-16,237.643997,11438.799805
242,2015-05-17,236.009995,11438.799805
243,2015-05-18,236.886993,11336.799805
244,2015-05-19,233.037003,11406.099609
245,2015-05-20,231.889999,11505.099609
246,2015-05-21,234.016006,11517.900391
247,2015-05-22,235.320999,11594.700195
248,2015-05-23,240.285995,11594.700195
249,2015-05-24,238.975998,11594.700195
250,2015-05-25,240.927002,11421.200195
251,2015-05-26,237.104004,11297.099609
252,2015-05-27,237.065002,11281.700195
253,2015-05-28,237.257004,11387.900391
254,2015-05-29,237.376999,11375.599609
255,2015-05-30,237.091995,11375.599609
256,2015-05-31,233.134995,11375.599609
257,2015-06-01,230.233002,11264.799805
258,2015-06-02,222.893997,11314.5
259,2015-06-03,225.735992,11302.900391
260,2015-06-04,225.772003,11201.200195
261,2015-06-05,224.154007,11061.5
262,2015-06-06,225.005005,11061.5
263,2015-06-07,225.595993,11061.5
264,2015-06-08,222.878998,11022.799805
265,2015-06-09,228.537994,10895.0
266,2015-06-10,228.994995,10879.900391
267,2015-06-11,228.854996,11097.599609
268,2015-06-12,229.705002,11124.5
269,2015-06-13,229.919998,11124.5
270,2015-06-14,232.442001,11124.5
271,2015-06-15,233.421997,10893.599609
272,2015-06-16,236.764999,10766.0
273,2015-06-17,250.822998,10900.0
274,2015-06-18,249.427994,10788.5
